,District_Name,Type,latitude,longitude
5,praha 4,school,50.00861953621105,14.448991919095164
22,praha 1,school,50.08034429615092,14.415264178458113
25,praha 1,school,50.09083356174627,14.428853454902159
26,praha 1,school,50.09083356174627,14.428853454902159
30,praha 4,school,50.001684358329854,14.413886188585668
31,praha 4,school,50.03630420511851,14.498836406890131
33,praha 6,school,50.086379536211034,14.375241094090818
36,praha 7,school,50.107447760199676,14.440075707859817
38,praha 9,school,50.12568853721085,14.498297017744713
41,praha 1,school,50.08399278628316,14.430822353742235
42,praha 1,school,50.08777821233188,14.389992702464113
43,praha 1,school,50.091273,14.434654320993646
44,praha 2,school,50.07626648932419,14.44341991326678
45,praha 3,school,50.08548405969744,14.449217383865074
46,praha 9,school,50.09177108021237,14.50062306719926
47,praha 3,school,50.086402082982325,14.457050093398342
48,praha 3,school,50.086402082982325,14.457050093398342
49,praha 4,school,50.028828904524204,14.534650679121937
50,praha 4,school,50.059809449362255,14.435009863725552
51,praha 4,school,50.008892689422375,14.418955602833387
52,praha 4,school,50.02287302054357,14.443805608113513
53,praha 5,school,50.07011776103638,14.384791297824352
54,praha 5,school,50.073828202608354,14.403748061457794
55,praha 5,school,49.98230316847479,14.354624027612694
56,praha 5,school,50.04874805190717,14.312794028997686
57,praha 5,school,50.035853064660465,14.311117393011685
58,praha 6,school,50.08692611573089,14.367206202031438
59,praha 6,school,50.086219820416716,14.346637012926188
60,praha 6,school,50.09881894976626,14.342127541174039
61,praha 7,school,50.103290419931874,14.434176567718884
62,praha 8,school,50.12414228810082,14.455878268625112
63,praha 8,school,50.12936237137159,14.472692973425579
64,praha 9,school,50.11649136554322,14.493071980437396
65,praha 9,school,50.15072636943836,14.513537279618046
66,praha 9,school,50.11087069386579,14.616954398551611
67,praha 10,school,50.07115326340232,14.473625789197357
68,praha 10,school,50.0634418992441,14.510558004327827
69,praha 10,school,50.05155742382703,14.52526754801202
70,praha 10,school,50.036322204570254,14.594178512522154
71,praha 1,school,50.08962085567546,14.420885302239093
74,praha 1,school,50.09090305744711,14.431290144468775
75,praha 1,school,50.08482104746377,14.426696299065107
76,praha 1,school,50.08442546436587,14.402918252842092
79,praha 1,school,50.08429452178431,14.405202000000003
80,praha 1,school,50.08823938190318,14.40543572286346
83,praha 1,school,50.09130201165675,14.420318548560285
86,praha 1,school,50.08444358174156,14.431697366495495
88,praha 1,school,50.07826800000001,14.415756711754941
89,praha 1,school,50.08933512741632,14.42433740642785
93,praha 4,educatioanal center,50.04055137665171,14.42812402094761
95,praha 1,school,50.07899332223439,14.417081941312173
97,praha 1,school,50.08360168942239,14.414942577298174
99,praha 1,school,50.08467265860705,14.430794394685131
100,praha 1,school,50.07849593366612,14.425312557043053
101,praha 2,school,50.06903421954523,14.418307969473112
102,praha 10,school,50.06703126340233,14.458605040654433
104,praha 2,school,50.075740561746265,14.416662975993997
105,praha 2,school,50.07748268552723,14.438953404379971
106,praha 2,school,50.07549552899768,14.426009413266769
108,praha 2,school,50.0752925106758,14.43878028596603
109,praha 2,educatioanal center,50.0752925106758,14.43878028596603
111,praha 2,school,50.07549552899768,14.426009413266769
112,praha 7,school,50.10821276827842,14.448408818512139
114,praha 2,school,50.07575649653755,14.415938465722208
115,praha 2,school,50.07748268552723,14.438953404379971
116,praha 2,school,50.06966118151652,14.41551891147778
119,praha 2,school,50.07368613044608,14.435751311674151
120,praha 5,school,50.07235851067582,14.394649835276141
121,praha 2,school,50.075535518754556,14.426509196087492
122,praha 3,school,50.08391256174627,14.45041773827112
124,praha 3,school,50.08236743104038,14.451178772548932
125,praha 3,school,50.081447105747564,14.45545376576824
127,praha 3,school,50.09212931836791,14.4758139158925
128,praha 3,school,50.077071974464786,14.4771609167579
130,praha 3,school,50.0760748812107,14.454184986409988
131,praha 4,school,50.01902026781705,14.441976697126679
132,praha 4,school,50.05234025618895,14.455095292111523
136,praha 4,school,50.05491947735031,14.447110500000008
137,praha 4,school,50.04520551067582,14.492389782820707
138,praha 8,school,50.090732780454786,14.447863885654094
139,praha 4,school,50.06217848211082,14.434901999999994
141,praha 10,school,50.03446797639802,14.559640595765188
142,praha 2,school,50.07428647960066,14.440535539817713
143,praha 5,school,50.05308658728147,14.332292423538568
144,praha 4,school,50.02873840161001,14.518967653471153
146,praha 4,school,50.031007133244714,14.425771561429146
147,praha 4,school,50.05246733611286,14.455816093254104
148,praha 4,educatioanal center,50.05241467831387,14.455805258958927
149,praha 4,school,50.0095385836748,14.424250791794405
150,praha 4,school,50.0095385836748,14.424250791794405
153,4 none,school,50.03661976213291,14.519484303565806
154,praha 10,school,50.07962746826102,14.502967397714878
156,praha 4,school,50.0218598751225,14.499302884932947
157,praha 4,school,50.0218598751225,14.499302884932947
161,praha 4,school,50.0627465323159,14.440401894685118
162,praha 4,school,50.0430493733335,14.452675322522845
164,praha 4,school,50.028386608344654,14.534631240088801
165,praha 4,school,50.028386608344654,14.534631240088801
166,praha 4,school,50.032874557851116,14.511365141266124
168,praha 4,school,50.03892952510254,14.424445550926217
169,praha 4,educatioanal center,50.031007133244714,14.425771561429146
171,praha 4,school,50.04568392423104,14.430390399965239
172,praha 4,school,50.04568392423104,14.430390399965239
175,praha 4,school,50.053103142362644,14.452907274165039
176,praha 4,school,50.04818662724344,14.48672315098965
179,praha 10,school,50.07962746826102,14.502967397714878
181,praha 5,school,50.07091612101101,14.399445353857805
182,praha 5,school,49.9813708262451,14.3607031490564
183,praha 5,school,50.080380789341575,14.40692848153392
184,praha 5,school,50.052390329159294,14.340595569507897
188,praha 5,school,50.07553929225577,14.405951033296837
